무배당 예정 경험 암 발생률 [생명장기제2024-112호(2024.01.15)]
연령 남자 여자
0 0.000256 0.000298
1 0.000224 0.000255
2 0.000197 0.000222
3 0.000177 0.000202
4 0.000166 0.000198
5 0.000162 0.000205
6 0.000165 0.000216
7 0.000173 0.000226
8 0.000186 0.000232
9 0.000204 0.000235
10 0.000225 0.000238
11 0.000244 0.000243
12 0.000260 0.000254
13 0.000270 0.000271
14 0.000278 0.000291
15 0.000284 0.000316
16 0.000289 0.000349
17 0.000294 0.000391
18 0.000297 0.000441
19 0.000299 0.000496
20 0.000303 0.000564
21 0.000317 0.000658
22 0.000348 0.000792
23 0.000394 0.000971
24 0.000455 0.001190
25 0.000529 0.001435
26 0.000620 0.001693
27 0.000734 0.001956
28 0.000878 0.002227
29 0.001048 0.002511
30 0.001231 0.002798
31 0.001408 0.003081
32 0.001567 0.003350
33 0.001703 0.003602
34 0.001822 0.003839
35 0.001933 0.004073
36 0.002045 0.004319
37 0.002165 0.004590
38 0.002294 0.004897
39 0.002431 0.005233
40 0.002570 0.005574
41 0.002702 0.005885
42 0.002822 0.006137
43 0.002923 0.006320
44 0.003008 0.006447
45 0.003091 0.006539
46 0.003196 0.006615
47 0.003340 0.006687
48 0.003524 0.006752
49 0.003741 0.006805
50 0.003988 0.006853
51 0.004268 0.006900
52 0.004591 0.006952
53 0.004955 0.007007
54 0.005359 0.007065
55 0.005801 0.007126
56 0.006293 0.007193
57 0.006852 0.007272
58 0.007483 0.007362
59 0.008181 0.007461
60 0.008930 0.007569
61 0.009724 0.007690
62 0.010570 0.007826
63 0.011465 0.007977
64 0.012409 0.008142
65 0.013401 0.008322
66 0.014453 0.008527
67 0.015585 0.008766
68 0.016808 0.009052
69 0.018115 0.009379
70 0.019476 0.009722
71 0.020859 0.010042
72 0.022248 0.010311
73 0.023633 0.010517
74 0.025020 0.010672
75 0.026434 0.010805
76 0.027920 0.010951
77 0.029519 0.011137
78 0.031298 0.011371
79 0.033236 0.011643
80 0.035185 0.011932
81 0.036923 0.012211
82 0.038262 0.012463
83 0.039146 0.012684
84 0.039650 0.012883
85 0.039917 0.013065
86 0.040088 0.013232
87 0.040239 0.013383
88 0.040361 0.013515
89 0.040419 0.013630
90 0.040439 0.013732
91 0.040446 0.013824
92 0.040455 0.013907
93 0.040466 0.013978
94 0.040470 0.014037
95 0.040472 0.014089
96 0.040473 0.014135
97 0.040474 0.014175
98 0.040474 0.014210
99 0.040475 0.014238
100 0.040475 0.014262
101 0.040475 0.014283
102 0.040475 0.014301
103 0.040475 0.014316
104 0.040476 0.014328
105 0.040475 0.014337
106 0.040475 0.014346
107 0.040475 0.014354
108 0.040475 0.014361
109 0.040475 0.014367
110 - 0.014371
111 - 0.014376
