암입원율 (사용자 제공, 연령 0세부터 행 순서. 값은 1일 기준 입원율 → 연간 기대 입원일수 = 값 × 365)
남자 여자
0 0.000152
0.000002 0.000161
0.000005 0.000159
0.000008 0.000154
0.00001 0.000153
0.000012 0.000149
0.000014 0.000143
0.000016 0.000133
0.000034 0.000149
0.000052 0.000166
0.000073 0.000184
0.000094 0.000202
0.000117 0.000221
0.000111 0.000346
0.000104 0.000478
0.000097 0.000606
0.000087 0.000722
0.000078 0.000835
0.000129 0.001063
0.000177 0.001263
0.000223 0.001434
0.000266 0.001579
0.000307 0.001697
0.000466 0.002038
0.000619 0.002379
0.000765 0.002865
0.000904 0.003572
0.001037 0.004383
0.001137 0.005321
0.001237 0.00631
0.001338 0.007347
0.001438 0.008431
0.001539 0.009559
0.001677 0.010019
0.001777 0.010386
0.00181 0.010317
0.001773 0.009823
0.001701 0.009246
0.001813 0.010759
0.001886 0.01212
0.001923 0.013335
0.001929 0.014407
0.001905 0.015339
0.002053 0.015614
0.002133 0.015777
0.002251 0.015922
0.002426 0.016063
0.00256 0.016123
0.002808 0.015456
0.002987 0.014793
0.00309 0.014135
0.003109 0.013483
0.003035 0.012837
0.003182 0.012697
0.003305 0.01249
0.003338 0.012595
0.003279 0.013033
0.003194 0.013433
0.003289 0.013069
0.00335 0.012687
0.003379 0.012286
0.003376 0.011868
0.003344 0.011433
0.003322 0.011293
0.003284 0.011038
0.003242 0.010283
0.003194 0.009093
0.003132 0.007889
0.003369 0.007721
0.003611 0.00749
0.003858 0.007199
0.004125 0.007428
0.0044 0.007637
0.004542 0.007098
0.004685 0.006456
0.004828 0.005712
0.004969 0.004865
0.005111 0.003916
0.004853 0.004657
0.004574 0.005444
0.004272 0.006277
0.003947 0.007157
0.003601 0.008083
0.003522 0.007888
0.003444 0.007694
0.003366 0.007499
0.003288 0.007305
0.003209 0.00711
0.003137 0.006842
0.003064 0.006574
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
0.002992 0.006305
